400, PA5-H-Unknown-Output.txt
    4.4780,   -18.4939,     6.7814,   -22.3074,    33.2305,    -0.7161
   23.9144    -0.6475    60.6754    23.8697    -0.7558    60.6867     0.1177
    0.2449    11.9080    60.7776     0.1627    11.7313    60.8156     0.1986
  -12.0382    12.1047    31.4760   -12.1107    11.9708    31.5099     0.1560
   33.1284    -6.7838     7.4200    33.1213    -6.7227     7.4159     0.0616
   -8.5555    11.4549   -32.0883    -8.6027    11.5016   -32.0570     0.0734
   26.9167    13.9371    -8.6403    26.8550    14.0245    -8.5909     0.1178
   35.0248    -5.5711     8.8484    35.0137    -5.5082     8.8482     0.0638
  -28.8136     4.4012   -38.7290   -28.8386     4.4061   -38.7230     0.0261
  -25.5277     0.2526   -14.6350   -25.5493     0.2023   -14.6384     0.0549
   31.8147     1.0326    28.4683    31.7771     1.0339    28.4855     0.0414
   27.8476    14.7514    22.7094    27.7721    14.7575    22.7621     0.0923
  -12.7602    12.2139    28.3409   -12.8318    12.0863    28.3748     0.1502
   -5.0267   -25.2232   -38.3049    -4.9648   -25.1519   -38.3714     0.1155
   12.9717   -14.6115   -13.5629    12.9944   -14.5534   -13.5947     0.0700
  -15.7275   -16.5565    -7.8727   -15.7023   -16.5975    -7.9183     0.0662
  -33.7271   -21.2210   -35.7957   -33.6788   -21.2399   -35.8600     0.0827
  -20.2818     5.1856   -44.0540   -20.3068     5.2298   -44.0435     0.0518
  -24.5950   -16.9182   -44.9987   -24.5555   -16.8854   -45.0490     0.0719
  -24.9226   -14.4857   -45.3958   -24.8901   -14.4527   -45.4397     0.0638
  -12.5514    15.2296    21.0074   -12.6292    15.1224    21.0492     0.1388
   -4.5902    11.6303    -6.0422    -4.6473    11.6187    -6.0085     0.0673
  -22.6266     8.3141   -18.8549   -22.6700     8.2841   -18.8359     0.0561
  -33.9609    -2.4524   -33.7900   -33.9679    -2.4761   -33.8038     0.0283
  -11.4152    -6.2371   -50.4978   -11.4042    -6.1505   -50.5156     0.0891
   33.5758     6.2857    24.8361    33.5243     6.3022    24.8679     0.0627
   13.5089    -7.9199    14.3806    13.5019    -7.9347    14.3678     0.0209
   -3.0441    29.4420    38.7609    -3.1693    29.3159    38.8444     0.1964
  -19.3333    19.9339    39.1607   -19.4316    19.7586    39.2137     0.2079
  -36.8581   -19.1396   -34.5211   -36.8164   -19.1709   -34.5808     0.0792
   14.7933    24.5186    19.8953    14.6899    24.4948    19.9704     0.1299
   14.4827    16.1072   -20.6444    14.4187    16.1907   -20.5933     0.1170
   -2.1297    24.3138    12.2422    -2.2303    24.2611    12.3113     0.1329
   20.0882    22.4848    15.2419    19.9927    22.4887    15.3129     0.1191
   -6.0232     8.3595   -12.7871    -6.0683     8.3616   -12.7628     0.0513
   -1.5862     5.6589   -10.6300    -1.6241     5.6680   -10.6115     0.0431
  -27.2215   -10.9193   -43.7053   -27.2000   -10.8974   -43.7402     0.0465
  -11.4665    18.0268    23.0523   -11.5531    17.9175    23.1020     0.1480
  -26.8021   -11.1767   -45.0689   -26.7793   -11.1498   -45.1044     0.0500
   -7.0670   -10.9353     1.7890    -7.0613   -10.9766     1.7615     0.0499
   28.2057     6.6864    53.6122    28.1423     6.6101    53.6443     0.1043
   26.2304    -0.4685    48.9537    26.1895    -0.5385    48.9659     0.0820
    8.3898    26.2766    25.9114     8.2789    26.2181    25.9894     0.1477
   10.6636    24.9758    36.3455    10.5527    24.8958    36.4211     0.1562
    7.1363    25.4571    49.2771     7.0191    25.3322    49.3532     0.1874
   -9.2741     2.4536    22.3583    -9.3151     2.3516    22.3668     0.1103
    5.9932    21.0797   -20.7615     5.9144    21.1391   -20.6996     0.1165
  -20.7692   -29.5617   -27.0238   -20.6994   -29.5669   -27.1064     0.1083
   31.0523     9.1582    34.0280    30.9890     9.1429    34.0670     0.0759
  -35.6444    -3.0637   -31.6411   -35.6505    -3.0981   -31.6570     0.0384
  -21.7488   -26.9816   -19.3482   -21.6893   -27.0100   -19.4240     0.1004
   17.3301    -0.7666   -24.3556    17.3166    -0.6660   -24.3492     0.1018
  -27.4589     4.8995   -40.3710   -27.4846     4.9129   -40.3633     0.0300
   -3.9360    23.3901    60.3771    -4.0516    23.2030    60.4447     0.2301
  -31.3043     3.2051   -19.3035   -31.3330     3.1507   -19.3009     0.0616
  -27.9816   -12.9569   -11.9324   -27.9658   -13.0225   -11.9721     0.0783
   -9.7170   -24.6648   -14.7319    -9.6655   -24.6704   -14.7977     0.0837
    2.9837    -5.6077   -21.6738     2.9828    -5.5564   -21.6846     0.0524
  -23.3115     0.8817   -46.4784   -23.3231     0.9233   -46.4805     0.0432
   16.3900    -6.8353   -22.1037    16.3933    -6.7438   -22.1138     0.0921
  -18.7425    11.2773   -21.8224   -18.7932    11.2668   -21.7943     0.0589
  -18.0351     9.0512   -16.0870   -18.0815     9.0272   -16.0645     0.0568
   24.1849    -2.8292    52.2513    24.1496    -2.9142    52.2566     0.0922
    2.0859   -10.8317   -27.5201     2.1022   -10.7677   -27.5454     0.0708
   -5.8334    -6.0105   -49.3105    -5.8234    -5.9108   -49.3259     0.1014
  -20.5784     8.5268   -41.4365   -20.6140     8.5634   -41.4170     0.0546
   -6.7884   -20.1764   -46.3421    -6.7382   -20.0884   -46.3959     0.1147
   11.8591    -7.2930    13.5413    11.8505    -7.3104    13.5296     0.0226
   -8.9800    30.0791    35.1846    -9.1060    29.9453    35.2679     0.2018
  -18.2796    19.7169    46.7295   -18.3800    19.5244    46.7825     0.2235
  -18.0480    22.8166    46.2982   -18.1572    22.6261    46.3595     0.2280
   28.0089    15.0860    37.4987    27.9270    15.0529    37.5529     0.1036
  -20.8400    -3.1420    -5.6828   -20.8548    -3.2029    -5.6937     0.0636
   24.5913   -12.6084    -2.7564    24.6046   -12.5453    -2.7790     0.0683
   -4.1242   -12.4686    -0.4544    -4.1132   -12.4954    -0.4852     0.0423
  -31.9407   -18.1219   -39.7549   -31.8999   -18.1248   -39.8105     0.0690
  -15.8778    12.4064   -29.1063   -15.9291    12.4238   -29.0746     0.0628
   25.2711    23.1667    57.0137    25.1584    23.0738    57.0894     0.1645
   31.2331     7.9320    -5.5788    31.1879     8.0234    -5.5442     0.1077
  -13.6206   -29.7845   -24.2869   -13.5508   -29.7762   -24.3679     0.1072
  -35.8781     0.4685   -28.6550   -35.8955     0.4256   -28.6614     0.0467
  -19.5365   -24.1323   -42.2552   -19.4769   -24.0927   -42.3233     0.0989
   -1.8042     2.6397    54.0079    -1.8570     2.4746    54.0201     0.1738
  -28.2314     7.4634   -21.4413   -28.2715     7.4239   -21.4263     0.0583
  -17.1002   -28.4594   -37.1897   -17.0297   -28.4265   -37.2686     0.1108
   28.0092    -5.0337   -12.8544    28.0042    -4.9330   -12.8559     0.1008
    1.3393   -17.2091   -32.1602     1.3759   -17.1352   -32.2031     0.0929
  -11.8012    -5.7124   -50.4658   -11.7918    -5.6270   -50.4822     0.0875
   -2.5824    22.5218    11.3832    -2.6775    22.4700    11.4474     0.1258
    0.6472    -1.8182    58.8495     0.6057    -1.9895    58.8506     0.1763
   33.1453     8.6325    23.8311    33.0874     8.6506    23.8690     0.0716
  -13.0360    12.6485     9.3146   -13.1019    12.5712     9.3490     0.1073
  -15.5920    21.4264    32.5532   -15.6921    21.2798    32.6112     0.1867
   -4.5886   -19.0441   -17.8216    -4.5521   -19.0261   -17.8708     0.0638
  -34.7625    -0.5288   -22.9809   -34.7791    -0.5837   -22.9895     0.0580
    3.4130    -1.3895   -19.9322     3.3992    -1.3414   -19.9315     0.0501
   12.4165    -0.7902   -21.0685    12.4017    -0.7127   -21.0635     0.0791
   29.3944    13.6809    56.0993    29.3098    13.6018    56.1506     0.1267
   -4.4518     6.8472   -13.2537    -4.4923     6.8550   -13.2330     0.0462
    2.0075    22.0893    -9.6446     1.9215    22.1073    -9.5809     0.1085
   -3.6874     1.8423   -43.0316    -3.7024     1.9320   -43.0251     0.0911
  -30.5618     8.1320   -24.5371   -30.6028     8.0941   -24.5212     0.0581
    3.0107    10.6992   -23.0657     2.9629    10.7554   -23.0327     0.0808
   -2.1079    -3.7643   -45.6574    -2.1056    -3.6634   -45.6656     0.1013
  -39.1173   -14.1828   -34.6139   -39.0900   -14.2202   -34.6609     0.0659
   24.2699   -11.4260   -19.2980    24.2858   -11.3194   -19.3180     0.1096
   10.5266   -10.9917   -19.1980    10.5407   -10.9254   -19.2210     0.0716
   25.4946     0.6593   -16.8432    25.4745     0.7637   -16.8303     0.1071
   14.9038    -6.3041    34.9384    14.8846    -6.3700    34.9310     0.0690
   30.6938    14.2691    15.2253    30.6225    14.3036    15.2774     0.0948
   19.6414    -5.3016    59.6682    19.6103    -5.4199    59.6657     0.1223
   29.8582     9.4350    43.9892    29.7904     9.3895    44.0290     0.0908
   -6.5351    15.0910    45.9376    -6.6213    14.9345    45.9817     0.1840
  -24.0576   -25.5477   -17.9992   -24.0028   -25.5865   -18.0718     0.0988
  -16.4638   -22.3775   -12.0954   -16.4202   -22.4097   -12.1569     0.0820
   14.6090    11.0904   -25.3673    14.5612    11.1866   -25.3298     0.1137
   26.0563   -14.6463   -12.5151    26.0791   -14.5529   -12.5430     0.1002
   -8.9946    14.4481     7.4818    -9.0650    14.3876     7.5222     0.1012
   10.2757    24.8369    37.3955    10.1648    24.7530    37.4706     0.1580
   13.1140   -13.2959   -17.7723    13.1344   -13.2260   -17.8006     0.0781
   -8.8564    18.9986    21.0074    -8.9450    18.9025    21.0605     0.1411
  -10.4628   -13.0274   -50.3427   -10.4322   -12.9389   -50.3785     0.1003
   36.4702     1.7131    14.8365    36.4358     1.7646    14.8566     0.0651
  -12.1561    13.7123    12.3749   -12.2262    13.6294    12.4125     0.1149
   29.8017    -9.4227    13.8149    29.7998    -9.3886    13.8029     0.0361
    5.8233   -16.2763   -10.4322     5.8494   -16.2476   -10.4705     0.0546
    2.3072   -15.8943   -21.3835     2.3360   -15.8464   -21.4222     0.0680
   -5.6331    25.6422    58.2931    -5.7545    25.4559    58.3662     0.2341
   25.4923    -4.9246    41.0275    25.4672    -4.9758    41.0272     0.0570
   -2.4168    14.0059    61.2751    -2.5054    13.8202    61.3179     0.2101
   27.5292     7.6111   -14.4523    27.4881     7.7155   -14.4199     0.1168
   31.7649     7.0184    31.5402    31.7088     7.0117    31.5736     0.0657
   20.5257    -9.2482   -22.6208    20.5363    -9.1434   -22.6362     0.1064
   22.5556    19.3517    23.5834    22.4662    19.3403    23.6470     0.1103
   13.9475    24.3953    24.7858    13.8427    24.3559    24.8604     0.1346
   -8.0889    13.7447     2.0449    -8.1552    13.7014     2.0835     0.0881
   -0.5957    17.7476   -23.8741    -0.6638    17.7959   -23.8232     0.0978
  -31.1608     2.5427   -36.6945   -31.1812     2.5353   -36.6942     0.0217
    6.1760   -16.3491    -9.3667     6.2020   -16.3222    -9.4051     0.0536
    1.0755   -15.8944   -36.6427     1.1099   -15.8092   -36.6823     0.1001
   -8.5105    20.7712    23.2561    -8.6051    20.6701    23.3141     0.1500
    5.5797    25.2609     3.6978     5.4798    25.2537     3.7716     0.1244
  -15.9581    28.0761    36.2885   -16.0789    27.9189    36.3644     0.2123
   13.9423    25.3075    12.3596    13.8394    25.3014    12.4363     0.1285
   19.3800     3.5403   -24.6911    19.3542     3.6482   -24.6725     0.1124
   17.4087    -5.1155    60.1542    17.3769    -5.2416    60.1515     0.1301
   -3.9874    21.3882    60.3701    -4.0972    21.2009    60.4323     0.2259
   -4.4197    -7.3636   -49.1364    -4.4058    -7.2604   -49.1550     0.1059
  -16.0730    -8.9513   -50.5884   -16.0543    -8.8783   -50.6148     0.0799
  -24.3316    11.5043   -27.7047   -24.3810    11.4933   -27.6779     0.0573
   -7.9765   -25.7847   -40.4818    -7.9123   -25.7163   -40.5508     0.1165
  -16.5677   -19.2102   -47.9441   -16.5201   -19.1464   -47.9982     0.0963
  -29.4104     8.9907   -22.1253   -29.4547     8.9497   -22.1066     0.0632
   10.9494    24.5374    37.7271    10.8393    24.4545    37.8016     0.1566
   17.3810     4.7079   -25.0185    17.3518     4.8108   -24.9973     0.1091
   -1.8138    19.7010    -2.9134    -1.8954    19.6897    -2.8570     0.0998
    2.3962    28.2291    22.4168     2.2806    28.1626    22.4982     0.1562
   18.6955    24.0800    41.1891    18.5857    24.0105    41.2648     0.1504
   16.2120   -11.3852    -3.6595    16.2217   -11.3441    -3.6813     0.0476
    5.3212    -7.4034    17.3345     5.3113    -7.4500    17.3208     0.0496
  -19.0065     8.7522   -42.1086   -19.0425     8.7951   -42.0880     0.0597
    7.5069    24.8375    56.9832     7.3887    24.6929    57.0580     0.2011
    2.3519    -2.3093    60.9100     2.3111    -2.4812    60.9104     0.1767
   -8.9847   -10.8120     1.7069    -8.9795   -10.8587     1.6791     0.0545
    2.8918    -6.7457    32.2334     2.8745    -6.8393    32.2211     0.0960
   13.8366    -7.6886    16.5627    13.8281    -7.7083    16.5507     0.0246
  -27.1041    -9.3360   -12.4119   -27.0987    -9.3976   -12.4415     0.0685
   -1.4367     3.7376    54.1021    -1.4927     3.5734    54.1174     0.1742
  -10.1062     4.0403    22.5544   -10.1519     3.9354    22.5669     0.1151
   -7.9379   -25.8164   -40.7479    -7.8735   -25.7471   -40.8170     0.1172
   23.7811   -14.8773    -8.7612    23.8031   -14.8006    -8.7903     0.0850
   -1.6915   -16.5533   -13.4485    -1.6638   -16.5384   -13.4899     0.0521
  -32.9361    -2.1784   -36.0278   -32.9431    -2.1931   -36.0407     0.0207
    9.3952    20.2138   -19.7630     9.3187    20.2804   -19.7023     0.1181
   -3.7052    14.0869    50.0012    -3.7900    13.9277    50.0435     0.1852
   32.8243    10.6329    14.7105    32.7639    10.6747    14.7535     0.0851
    5.3743    25.5850     5.5657     5.2728    25.5722     5.6404     0.1267
   30.0277     8.4832    43.6658    29.9628     8.4390    43.7030     0.0869
  -15.7016   -24.5984   -13.0442   -15.6511   -24.6260   -13.1115     0.0885
   -5.1346     8.2696   -10.3034    -5.1804     8.2676   -10.2790     0.0519
    2.2889    17.3236   -24.4966     2.2223    17.3819   -24.4460     0.1020
   10.4479   -14.9410   -11.5243    10.4706   -14.8958   -11.5577     0.0607
  -32.8251   -15.3456   -18.6515   -32.8001   -15.4075   -18.6993     0.0821
    1.5665    -6.6556    37.3965     1.5469    -6.7669    37.3842     0.1137
   28.6507     4.8000   -13.1728    28.6173     4.9040   -13.1476     0.1121
  -18.5679     6.2469   -44.3357   -18.5958     6.2970   -44.3219     0.0589
  -19.3086    18.8506    37.2911   -19.4031    18.6803    37.3411     0.2011
   24.4666     9.1762   -18.3942    24.4222     9.2823   -18.3587     0.1204
  -20.8462     9.6658   -19.3117   -20.8933     9.6423   -19.2886     0.0575
   -8.7802   -20.9776   -15.6514    -8.7390   -20.9778   -15.7070     0.0691
  -17.9845   -27.8934   -37.5817   -17.9156   -27.8620   -37.6593     0.1085
   25.0715    17.9167     1.0059    24.9946    17.9731     1.0657     0.1126
   -5.5598   -26.3675   -35.0547    -5.4957   -26.3065   -35.1244     0.1126
   35.4326     8.1891     3.0263    35.3837     8.2696     3.0631     0.1012
  -28.9531     8.9645   -28.8043   -28.9950     8.9428   -28.7858     0.0507
   -1.3381    14.5176   -11.3446    -1.4015    14.5299   -11.3022     0.0772
   10.9278    14.4094   -23.5929    10.8696    14.4903   -23.5476     0.1095
   -1.1403   -19.0469   -31.0885    -1.0989   -18.9833   -31.1371     0.0902
   -5.8968     3.5462    41.4326    -5.9478     3.4029    41.4456     0.1527
   -1.1118     5.4052   -23.7989    -1.1441     5.4510   -23.7814     0.0587
   24.7108     9.4818   -17.6242    24.6652     9.5866   -17.5878     0.1199
   12.3128    25.4561     9.6583    12.2104    25.4526     9.7348     0.1279
   -6.0406     8.1304   -12.9180    -6.0850     8.1328   -12.8943     0.0504
  -12.1214    -9.4480   -51.2092   -12.1008    -9.3618   -51.2358     0.0926
  -15.2520     8.5229    -3.4132   -15.3014     8.4729    -3.3910     0.0737
   28.5181     8.9976   -10.2773    28.4714     9.0938   -10.2408     0.1129
   -2.2678    10.0939    60.6796    -2.3448     9.9100    60.7119     0.2020
   32.3068    10.0264    26.2016    32.2439    10.0358    26.2431     0.0759
   -4.0705    14.4818    -1.0542    -4.1376    14.4586    -1.0125     0.0824
   20.7836   -10.3073     0.2892    20.7889   -10.2633     0.2718     0.0476
   19.1954    16.1758   -19.0831    19.1307    16.2689   -19.0303     0.1250
   -0.3421     3.5171   -26.6173    -0.3679     3.5725   -26.6047     0.0624
   30.3769   -11.3039     7.5912    30.3828   -11.2516     7.5741     0.0553
   16.3782    -3.5051   -23.8898    16.3724    -3.4086   -23.8910     0.0966
   26.2709     7.2052   -18.2175    26.2323     7.3160   -18.1867     0.1213
   31.8520   -10.2097    10.4258    31.8537   -10.1606    10.4123     0.0509
   27.1435    17.5435    43.9597    27.0521    17.4907    44.0204     0.1218
  -14.4888    12.2353   -24.1328   -14.5414    12.2434   -24.1010     0.0620
   -4.4590   -12.0714     8.2190    -4.4524   -12.1224     8.1894     0.0593
   -5.3595    15.8266     2.5764    -5.4319    15.7899     2.6214     0.0929
   29.1778    17.4585    57.7733    29.0816    17.3746    57.8348     0.1417
  -13.9810    10.2461     7.3501   -14.0392    10.1711     7.3777     0.0989
   22.4203    21.4461    11.0668    22.3294    21.4680    11.1356     0.1161
  -30.8920    -5.3297   -15.5488   -30.8972    -5.3936   -15.5689     0.0672
  -27.4467   -21.1403   -40.8528   -27.3965   -21.1273   -40.9152     0.0811
   -1.0179    21.2187    59.9500    -1.1269    21.0411    60.0126     0.2176
   -2.2097    22.9696    11.1685    -2.3060    22.9195    11.2340     0.1267
   30.1234     5.1268    39.1325    30.0700     5.0948    39.1606     0.0683
   20.7533    -5.3167    59.4895    20.7224    -5.4313    59.4872     0.1187
   14.8589    -6.6230    31.6198    14.8418    -6.6801    31.6114     0.0602
   -2.6547    15.9893   -11.7845    -2.7223    15.9990   -11.7387     0.0823
   14.3485   -14.6973    -7.3768    14.3691   -14.6518    -7.4083     0.0590
  -12.0358    -1.0430    14.0577   -12.0637    -1.1310    14.0557     0.0924
   25.7016   -11.6993     3.6147    25.7100   -11.6500     3.5951     0.0537
  -25.6503   -15.6977   -11.4472   -25.6267   -15.7580   -11.4935     0.0796
   13.7115    -8.9058     4.9914    13.7108    -8.8950     4.9758     0.0191
    7.8994     5.0938    63.0472     7.8364     4.9329    63.0692     0.1742
  -22.9565   -26.6228   -37.0551   -22.8916   -26.6072   -37.1308     0.1009
    2.9511    -5.3167    58.0927     2.9200    -5.4795    58.0851     0.1659
  -10.6437    -0.8615   -48.5487   -10.6491    -0.7775   -48.5517     0.0842
   23.6990    -3.4141    55.3164    23.6642    -3.5087    55.3200     0.1009
   21.8712    24.8859    57.5518    21.7532    24.7818    57.6311     0.1762
   18.3521     7.2059   -24.4956    18.3155     7.3105   -24.4674     0.1143
  -26.2819   -16.5357   -11.8068   -26.2557   -16.5970   -11.8556     0.0825
   -3.7894     9.6159   -28.7737    -3.8322     9.6675   -28.7458     0.0726
   -2.3997     9.3911    59.6721    -2.4742     9.2094    59.7025     0.1987
  -17.3407   -17.0095    -8.6617   -17.3139   -17.0532    -8.7090     0.0696
   -8.2804    -5.3679    29.7230    -8.3013    -5.4873    29.7110     0.1218
  -16.3316    28.0111    37.6514   -16.4527    27.8491    37.7270     0.2159
   -1.6694   -13.6840   -44.8302    -1.6386   -13.5847   -44.8649     0.1097
   -1.7342     9.8158    58.6237    -1.8096     9.6389    58.6554     0.1949
    0.5514   -15.8157    -8.5302     0.5752   -15.8074    -8.5689     0.0462
   17.9200    -6.5382    36.8157    17.9009    -6.6003    36.8087     0.0654
   -2.2857     2.7744    51.5916    -2.3380     2.6143    51.6040     0.1689
   20.7606   -14.9761   -22.1945    20.7877   -14.8722   -22.2252     0.1117
  -27.1393     3.7209   -19.7777   -27.1691     3.6798   -19.7724     0.0510
  -21.6573   -14.0181    -8.9626   -21.6393   -14.0733    -9.0031     0.0708
   26.2621   -15.5754   -22.5150    26.2914   -15.4546   -22.5457     0.1280
   31.2021     7.3974    -6.0970    31.1587     7.4901    -6.0639     0.1076
   -3.4930    29.0437    41.0091    -3.6179    28.9102    41.0915     0.2005
   25.9567    -8.0148    20.0055    25.9483    -8.0085    19.9964     0.0139
  -27.3478     7.7505   -35.2591   -27.3836     7.7507   -35.2436     0.0391
    6.5991    25.6460    46.1345     6.4826    25.5279    46.2109     0.1826
   25.2927   -15.6991   -21.8048    25.3220   -15.5830   -21.8361     0.1237
   30.1558    -3.4168    26.9386    30.1316    -3.4165    26.9433     0.0246
   -2.2032    24.2674    13.2636    -2.3040    24.2118    13.3327     0.1342
    7.2031    24.6323    56.7209     7.0857    24.4876    56.7951     0.2006
    8.9397    -7.5085     9.6677     8.9331    -7.5240     9.6544     0.0215
   18.2786    23.5330     6.7257    18.1830    23.5546     6.7988     0.1222
   24.9952    14.0435   -11.6058    24.9342    14.1332   -11.5568     0.1191
   24.2530    -4.4514    46.7458    24.2243    -4.5215    46.7466     0.0758
  -18.7612     7.3373   -11.7639   -18.8042     7.2995   -11.7461     0.0600
    8.1613    -6.6828    48.7385     8.1379    -6.8054    48.7284     0.1252
  -17.9156    19.7669    47.1564   -18.0163    19.5743    47.2097     0.2238
